Lexus LX,$ 24 5002 110 920 сом431,https://im.mashina.kg/tachka/images//1/7/8/178622c29a42cc194a28fe03dededac0_240x180.jpg,"2006 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева"
Lexus GX,$ 34 8002 998 368 сом816,https://im.mashina.kg/tachka/images//0/4/1/041625ddc5c0abd53ed501b2e62ae17a_240x180.jpg,"2010 г., 4.6л., автоматвнедорожник 5 дв., бензинруль слева, 290 000 км"
Lexus ES,$ 45 3003 903 048 сом674,https://im.mashina.kg/tachka/images//8/3/5/835e8daf3c16fdbc10a6c330007228ad_240x180.jpg,"2019 г., 2.5л., вариаторседан, гибридруль слева, 61 000 км"
Volkswagen Multivan,$ 12 2001 051 152 сом32672,https://im.mashina.kg/tachka/images//4/f/c/4fc192862229df7d46961b870061d962_240x180.jpg,"2006 г., 2.5л., механикаминивэн, дизельруль слева"
Toyota Camry,$ 29 9002 576 184 сом3746,https://im.mashina.kg/tachka/images//9/8/b/98bc25c35fb4e13c0c650545e417861b_240x180.jpg,"2020 г., 2.5л., вариаторседан, гибридруль слева, 50 000 км"
Toyota Camry,$ 34 5002 972 520 сом874,https://im.mashina.kg/tachka/images//e/2/1/e2186150ee285a4248e417f5b75015c4_240x180.jpg,"2018 г., 2.5л., автоматседан, бензинруль слева, 49 000 км"
BMW X5,$ 58 0004 997 280 сом4154,https://im.mashina.kg/tachka/images//2/6/c/26c16d050d96805c611c72f9dba5c58b_240x180.jpg,"2018 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 73 000 км"
BMW X5,$ 95 0008 185 200 сом100,https://im.mashina.kg/tachka/images//9/c/0/9c07ad628dba5e7603fe1aeab8f870c7_240x180.jpg,"2019 г., 3л., автоматвнедорожник 5 дв., бензинруль слева, 35 000 км"
Hyundai Sonata,$ 15 5001 335 480 сом20,https://im.mashina.kg/tachka/images//8/1/d/81d59cb147de3a749c800b4a4d6bafd0_240x180.jpg,"2017 г., автоматседан, газруль слева, 144 000 км"
Jaguar XF,$ 19 8001 705 968 сом41,https://im.mashina.kg/tachka/images//2/7/2/27215cff1d9afaa1280315355fb87aa4_240x180.jpg,"2013 г., 2л., автоматседан, бензинруль слева, 150 000 км"
Toyota Camry,$ 31 0002 670 960 сом1810,https://im.mashina.kg/tachka/images//d/f/e/dfe43d0fe97e40334e9b2b73181977dd_240x180.jpg,"2018 г., 2.5л., автоматседан, бензинруль слева, 68 000 км"
Toyota Camry,$ 11 000947 760 сом8941,https://im.mashina.kg/tachka/images//f/f/b/ffb1e5b8922fdfe4b97d08367399ceec_240x180.jpg,"2011 г., 2.4л., автоматседан, бензинруль слева, 200 000 км"
Toyota RAV4,$ 33 5002 886 360 сом1156,https://im.mashina.kg/tachka/images//1/2/6/126c9a598767bffdef42d39626de3ca4_240x180.jpg,"2019 г., 2.5л., автоматвнедорожник 5 дв., бензинруль слева, 60 000 км"
